,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SC_AR_S01_HL 920 x 387,HL 920 x 387,420.0,921.0,36.6,36.6,24.0,493.0,387.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 417,HL 920 x 417,422.0,928.0,39.9,39.9,24.0,532.5,417.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 446,HL 920 x 446,423.0,933.0,42.7,42.7,24.0,569.6,446.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 488,HL 920 x 488,422.0,942.0,47.0,47.0,24.0,621.3,488.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 534,HL 920 x 534,425.0,950.0,51.1,51.1,24.0,680.1,534.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 585,HL 920 x 585,427.0,960.0,55.9,55.9,24.0,745.3,585.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 653,HL 920 x 653,431.0,972.0,62.0,62.0,24.0,831.9,653.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 784,HL 920 x 784,437.0,996.0,73.9,73.9,24.0,997.7,784.0,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 920 x 967,HL 920 x 967,446.0,1028.0,89.9,89.9,24.0,1231.0,967.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 x 296,HL 1000 x 296,400.0,982.0,27.0,27.0,30.0,376.8,296.0,3.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 A,HL 1000 A,400.0,990.0,31.0,31.0,30.0,408.8,321.0,3.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 B,HL 1000 B,400.0,1000.0,36.0,36.0,30.0,472.0,371.0,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 M,HL 1000 M,402.0,1008.0,40.0,40.0,30.0,524.2,412.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 x 477,HL 1000 x 477,404.0,1018.0,45.0,45.0,30.0,608.0,477.0,3.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_SC_AR_S01_HL 1000 x 554,HL 1000 x 554,408.0,1032.0,52.0,52.0,30.0,705.8,554.0,3.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
