,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_AR_S01_W760x350,W760x350,384.0,795.0,38.1,21.1,20.1,44700.0,350.0,3.05,4870000000.0,356000000.0,12300000.0,1870000.0,13900000.0,2870000.0,16800000.0,51000000000000.0,0.0,W30x235
H_SC_AR_S01_W760x314,W760x314,384.0,785.0,33.5,19.7,19.8,40200.0,314.0,3.02,4290000000.0,315000000.0,10900000.0,1640000.0,12300000.0,2540000.0,11800000.0,44600000000000.0,0.0,W30x211
H_SC_AR_S01_W760x284,W760x284,381.0,780.0,30.2,18.0,19.8,36200.0,284.0,3.02,3830000000.0,280000000.0,9830000.0,1470000.0,11100000.0,2260000.0,8740000.0,39200000000000.0,0.0,W30x191
H_SC_AR_S01_W760x257,W760x257,381.0,772.0,27.2,16.6,19.8,32800.0,257.0,3.0,3430000000.0,249000000.0,8870000.0,1310000.0,9950000.0,2020000.0,6490000.0,34600000000000.0,0.0,W30x173
H_SC_AR_S01_W760x220,W760x220,267.0,780.0,30.0,16.5,16.5,28100.0,220.0,2.57,2780000000.0,94500000.0,7140000.0,710000.0,8190000.0,1110000.0,6040000.0,13300000000000.0,0.0,W30x148
H_SC_AR_S01_W760x196,W760x196,267.0,770.0,25.4,15.6,16.5,25000.0,196.0,2.54,2400000000.0,81600000.0,6230000.0,610000.0,7160000.0,957000.0,4050000.0,11300000000000.0,0.0,W30x132
H_SC_AR_S01_W760x185,W760x185,267.0,767.0,23.6,14.9,16.5,23500.0,185.0,2.54,2230000000.0,75300000.0,5820000.0,564000.0,6690000.0,885000.0,3330000.0,10400000000000.0,0.0,W30x124
H_SC_AR_S01_W760x173,W760x173,267.0,762.0,21.6,14.4,16.5,22100.0,173.0,2.53,2050000000.0,68300000.0,5390000.0,513000.0,6190000.0,806000.0,2680000.0,9370000000000.0,0.0,W30x116
H_SC_AR_S01_W760x161,W760x161,267.0,757.0,19.3,13.8,16.5,20500.0,161.0,2.52,1860000000.0,60800000.0,4900000.0,457000.0,5670000.0,719000.0,2080000.0,8300000000000.0,0.0,W30x108
H_SC_AR_S01_W760x147,W760x147,267.0,754.0,17.0,13.2,16.5,18700.0,147.0,2.52,1660000000.0,53300000.0,4410000.0,401000.0,5110000.0,633000.0,1570000.0,7200000000000.0,0.0,W30x99
