,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_AR_S01_W310x107,W310x107,305.0,312.0,17.0,10.9,15.3,13600.0,107.0,1.8,248000000.0,81200000.0,1600000.0,531000.0,1770000.0,806000.0,1220000.0,1760000000000.0,0.0,W12x72
H_SC_AR_S01_W310x97,W310x97,305.0,307.0,15.4,9.91,15.1,12300.0,97.0,1.79,222000000.0,72400000.0,1440000.0,477000.0,1590000.0,723000.0,907000.0,1550000000000.0,0.0,W12x65
H_SC_AR_S01_W310x86,W310x86,254.0,310.0,16.3,9.14,15.2,11000.0,86.0,1.59,198000000.0,44500000.0,1280000.0,351000.0,1420000.0,533000.0,874000.0,959000000000.0,0.0,W12x58
H_SC_AR_S01_W310x79,W310x79,254.0,307.0,14.6,8.76,15.4,10100.0,79.0,1.59,177000000.0,39900000.0,1160000.0,315000.0,1280000.0,477000.0,658000.0,849000000000.0,0.0,W12x53
H_SC_AR_S01_W310x74,W310x74,205.0,310.0,16.3,9.4,12.7,9420.0,74.0,1.4,163000000.0,23400000.0,1050000.0,228000.0,1180000.0,349000.0,712000.0,505000000000.0,0.0,W12x50
H_SC_AR_S01_W310x67,W310x67,204.0,307.0,14.6,8.51,12.8,8450.0,67.0,1.39,145000000.0,20800000.0,946000.0,203000.0,1050000.0,311000.0,524000.0,443000000000.0,0.0,W12x45
H_SC_AR_S01_W310x60,W310x60,203.0,302.0,13.1,7.49,12.8,7550.0,60.0,1.38,128000000.0,18400000.0,844000.0,180000.0,934000.0,275000.0,377000.0,387000000000.0,0.0,W12x40
H_SC_AR_S01_W310x52,W310x52,167.0,318.0,13.2,7.62,7.6,6650.0,52.0,1.27,119000000.0,10200000.0,747000.0,122000.0,839000.0,188000.0,308000.0,236000000000.0,0.0,W12x35
H_SC_AR_S01_W310x44.5,W310x44.5,166.0,312.0,11.2,6.6,7.6,5670.0,44.5,1.26,99100000.0,8450000.0,633000.0,102000.0,706000.0,157000.0,190000.0,193000000000.0,0.0,W12x30
H_SC_AR_S01_W310x38.7,W310x38.7,165.0,310.0,9.65,5.84,7.65,4940.0,38.7,1.25,84900000.0,7200000.0,547000.0,87500.0,610000.0,134000.0,125000.0,163000000000.0,0.0,W12x26
H_SC_AR_S01_W310x32.7,W310x32.7,102.0,312.0,10.8,6.6,7.6,4180.0,32.7,1.01,64900000.0,1940000.0,416000.0,37900.0,480000.0,60000.0,122000.0,44000000000.0,0.0,W12x22
H_SC_AR_S01_W310x28.3,W310x28.3,102.0,310.0,8.89,5.97,7.61,3590.0,28.3,1.0,54100000.0,1570000.0,349000.0,30800.0,405000.0,48800.0,74900.0,35200000000.0,0.0,W12x19
H_SC_AR_S01_W310x23.8,W310x23.8,101.0,305.0,6.73,5.59,7.67,3040.0,23.8,0.991,42900000.0,1170000.0,280000.0,23100.0,329000.0,37000.0,42900.0,26000000000.0,0.0,W12x16
H_SC_AR_S01_W310x21,W310x21,101.0,302.0,5.72,5.08,7.58,2680.0,21.0,0.986,36900000.0,982000.0,244000.0,19500.0,285000.0,31100.0,29300.0,21600000000.0,0.0,W12x14
H_SC_AR_S01_W250x167,W250x167,264.0,290.0,31.8,19.2,12.7,21200.0,167.0,1.57,298000000.0,98200000.0,2060000.0,742000.0,2410000.0,1130000.0,6290000.0,1620000000000.0,0.0,W10x112
H_SC_AR_S01_W250x149,W250x149,262.0,282.0,28.4,17.3,12.7,18900.0,149.0,1.55,259000000.0,86200000.0,1840000.0,655000.0,2130000.0,1000000.0,4540000.0,1380000000000.0,0.0,W10x100
H_SC_AR_S01_W250x131,W250x131,262.0,274.0,25.1,15.4,12.7,16800.0,131.0,1.54,222000000.0,74500000.0,1610000.0,570000.0,1850000.0,870000.0,3130000.0,1160000000000.0,0.0,W10x88
H_SC_AR_S01_W250x115,W250x115,259.0,269.0,22.1,13.5,12.7,14600.0,115.0,1.53,189000000.0,64100000.0,1410000.0,493000.0,1600000.0,752000.0,2130000.0,975000000000.0,0.0,W10x77
H_SC_AR_S01_W250x101,W250x101,257.0,264.0,19.6,11.9,12.7,12800.0,101.0,1.51,164000000.0,55800000.0,1240000.0,433000.0,1400000.0,657000.0,1480000.0,832000000000.0,0.0,W10x68
H_SC_AR_S01_W250x89,W250x89,257.0,259.0,17.3,10.7,12.7,11400.0,89.0,1.5,142000000.0,48300000.0,1090000.0,377000.0,1220000.0,574000.0,1030000.0,709000000000.0,0.0,W10x60
H_SC_AR_S01_W250x80,W250x80,254.0,257.0,15.6,9.4,12.8,10200.0,80.0,1.49,126000000.0,42900000.0,983000.0,338000.0,1090000.0,513000.0,758000.0,623000000000.0,0.0,W10x54
H_SC_AR_S01_W250x73,W250x73,254.0,254.0,14.2,8.64,12.7,9290.0,73.0,1.49,113000000.0,38900000.0,895000.0,306000.0,990000.0,464000.0,579000.0,556000000000.0,0.0,W10x49
H_SC_AR_S01_W250x67,W250x67,204.0,257.0,15.7,8.89,12.7,8580.0,67.0,1.29,103000000.0,22200000.0,805000.0,218000.0,900000.0,333000.0,629000.0,322000000000.0,0.0,W10x45
H_SC_AR_S01_W250x58,W250x58,203.0,252.0,13.5,8.0,12.7,7420.0,58.0,1.28,87000000.0,18700000.0,690000.0,185000.0,767000.0,282000.0,406000.0,266000000000.0,0.0,W10x39
H_SC_AR_S01_W250x49.1,W250x49.1,202.0,247.0,11.0,7.37,12.7,6260.0,49.1,1.27,71200000.0,15200000.0,574000.0,151000.0,636000.0,229000.0,243000.0,212000000000.0,0.0,W10x33
H_SC_AR_S01_W250x44.8,W250x44.8,148.0,267.0,13.0,7.62,7.6,5700.0,44.8,1.09,70800000.0,6950000.0,531000.0,94200.0,600000.0,145000.0,259000.0,111000000000.0,0.0,W10x30
H_SC_AR_S01_W250x38.5,W250x38.5,147.0,262.0,11.2,6.6,7.6,4910.0,38.5,1.08,59900000.0,5870000.0,457000.0,80100.0,513000.0,123000.0,167000.0,92600000000.0,0.0,W10x26
H_SC_AR_S01_W250x32.7,W250x32.7,146.0,259.0,9.14,6.1,7.66,4190.0,32.7,1.08,49100000.0,4750000.0,380000.0,65100.0,426000.0,100000.0,99500.0,73800000000.0,0.0,W10x22
H_SC_AR_S01_W250x28.4,W250x28.4,102.0,259.0,10.0,6.35,7.7,3630.0,28.4,0.902,40100000.0,1790000.0,308000.0,35100.0,354000.0,54900.0,97000.0,27900000000.0,0.0,W10x19
H_SC_AR_S01_W250x25.3,W250x25.3,102.0,257.0,8.38,6.1,7.62,3220.0,25.3,0.894,34100000.0,1480000.0,265000.0,29200.0,306000.0,45900.0,64900.0,22900000000.0,0.0,W10x17
H_SC_AR_S01_W250x22.3,W250x22.3,102.0,254.0,6.86,5.84,7.64,2850.0,22.3,0.889,28700000.0,1200000.0,226000.0,23800.0,262000.0,37700.0,43300.0,18300000000.0,0.0,W10x15
H_SC_AR_S01_W250x17.9,W250x17.9,101.0,251.0,5.33,4.83,7.67,2280.0,17.9,0.881,22400000.0,907000.0,179000.0,18000.0,206000.0,28500.0,22800.0,13700000000.0,0.0,W10x12
H_SC_AR_S01_W200x100,W200x100,210.0,229.0,23.7,14.5,10.1,12700.0,100.0,1.25,113000000.0,36900000.0,990000.0,351000.0,1150000.0,536000.0,2100000.0,387000000000.0,0.0,W8x67
H_SC_AR_S01_W200x86,W200x86,209.0,222.0,20.6,13.0,9.9,11000.0,86.0,1.24,94900000.0,31300000.0,852000.0,300000.0,980000.0,457000.0,1390000.0,317000000000.0,0.0,W8x58
H_SC_AR_S01_W200x71,W200x71,206.0,216.0,17.4,10.2,10.0,9100.0,71.0,1.22,76600000.0,25300000.0,708000.0,246000.0,803000.0,375000.0,816000.0,250000000000.0,0.0,W8x48
H_SC_AR_S01_W200x59,W200x59,205.0,210.0,14.2,9.14,10.0,7550.0,59.0,1.2,60800000.0,20400000.0,582000.0,200000.0,652000.0,303000.0,466000.0,195000000000.0,0.0,W8x40
H_SC_AR_S01_W200x52,W200x52,204.0,206.0,12.6,7.87,10.0,6650.0,52.0,1.19,52900000.0,17700000.0,511000.0,174000.0,569000.0,264000.0,320000.0,166000000000.0,0.0,W8x35
H_SC_AR_S01_W200x46.1,W200x46.1,203.0,203.0,11.0,7.24,10.1,5890.0,46.1,1.19,45800000.0,15400000.0,451000.0,152000.0,498000.0,231000.0,223000.0,142000000000.0,0.0,W8x31
H_SC_AR_S01_W200x41.7,W200x41.7,166.0,205.0,11.8,7.24,10.0,5320.0,41.7,1.04,40800000.0,9030000.0,398000.0,109000.0,446000.0,166000.0,224000.0,83800000000.0,0.0,W8x28
H_SC_AR_S01_W200x35.9,W200x35.9,165.0,201.0,10.2,6.22,10.0,4570.0,35.9,1.03,34400000.0,7620000.0,342000.0,92300.0,379000.0,140000.0,144000.0,69600000000.0,0.0,W8x24
H_SC_AR_S01_W200x31.3,W200x31.3,134.0,210.0,10.2,6.35,7.6,3970.0,31.3,0.93,31300000.0,4070000.0,298000.0,60800.0,334000.0,93200.0,117000.0,40800000000.0,0.0,W8x21
H_SC_AR_S01_W200x26.6,W200x26.6,133.0,207.0,8.38,5.84,7.62,3390.0,26.6,0.922,25800000.0,3320000.0,249000.0,49800.0,279000.0,76400.0,71600.0,32800000000.0,0.0,W8x18
H_SC_AR_S01_W200x22.5,W200x22.5,102.0,206.0,8.0,6.22,7.6,2860.0,22.5,0.795,20000000.0,1420000.0,193000.0,27900.0,223000.0,43800.0,57000.0,13900000000.0,0.0,W8x15
H_SC_AR_S01_W200x19.3,W200x19.3,102.0,203.0,6.48,5.84,7.62,2480.0,19.3,0.787,16500000.0,1140000.0,162000.0,22500.0,187000.0,35200.0,36300.0,11000000000.0,0.0,W8x13
H_SC_AR_S01_W200x15,W200x15,100.0,200.0,5.21,4.32,7.59,1910.0,15.0,0.78,12800000.0,870000.0,128000.0,17400.0,145000.0,27200.0,17700.0,8300000000.0,0.0,W8x10
H_SC_AR_S01_W150x37.1,W150x37.1,154.0,162.0,11.6,8.13,6.3,4740.0,37.1,0.914,22200000.0,7120000.0,274000.0,91900.0,310000.0,140000.0,192000.0,40300000000.0,0.0,W6x25
H_SC_AR_S01_W150x29.8,W150x29.8,153.0,157.0,9.27,6.6,6.33,3790.0,29.8,0.902,17200000.0,5540000.0,220000.0,72300.0,246000.0,110000.0,99900.0,30300000000.0,0.0,W6x20
H_SC_AR_S01_W150x22.5,W150x22.5,152.0,152.0,6.6,5.84,6.4,2860.0,22.5,0.892,12100000.0,3880000.0,159000.0,51000.0,177000.0,77800.0,42000.0,20500000000.0,0.0,W6x15
H_SC_AR_S01_W150x24,W150x24,102.0,160.0,10.3,6.6,6.3,3060.0,24.0,0.704,13400000.0,1840000.0,167000.0,36100.0,192000.0,55600.0,92800.0,10300000000.0,0.0,W6x16
H_SC_AR_S01_W150x18,W150x18,102.0,153.0,7.11,5.84,6.39,2290.0,18.0,0.691,9200000.0,1240000.0,120000.0,24600.0,136000.0,38000.0,37600.0,6630000000.0,0.0,W6x12
H_SC_AR_S01_W150x13.5,W150x13.5,100.0,150.0,5.46,4.32,6.34,1730.0,13.5,0.681,6830000.0,916000.0,91100.0,18200.0,102000.0,28200.0,16900.0,4750000000.0,0.0,W6x9
H_SC_AR_S01_W150x13,W150x13,100.0,148.0,4.95,4.32,6.35,1630.0,13.0,0.678,6200000.0,828000.0,83600.0,16600.0,93900.0,25600.0,13900.0,4240000000.0,0.0,W6x8.5
H_SC_AR_S01_W130x28.1,W130x28.1,128.0,131.0,10.9,6.86,7.6,3590.0,28.1,0.747,10900000.0,3800000.0,167000.0,59500.0,190000.0,90600.0,132000.0,13700000000.0,0.0,W5x19
H_SC_AR_S01_W130x23.8,W130x23.8,127.0,127.0,9.14,6.1,7.66,3040.0,23.8,0.737,8910000.0,3130000.0,140000.0,49200.0,158000.0,75100.0,79900.0,10900000000.0,0.0,W5x16
H_SC_AR_S01_W100x19.3,W100x19.3,103.0,106.0,8.76,7.11,6.34,2470.0,19.3,0.599,4700000.0,1610000.0,89500.0,31100.0,103000.0,47900.0,62900.0,3760000000.0,0.0,W4x13
