"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A02AB015-00001,AR,A02,Pile Work,AB,Pile Head Treatment,015,Reinforced Concrete Pile (Square Type),,,,,,,,,,,,,,,,,,Size=(  )mm x (  )mm,,,,,,,,EA,EA,A02AB015,A02AB015-00001
A02AB016-00001,AR,A02,Pile Work,AB,Pile Head Treatment,016,Pretensioned Concrete Pile (Type-A),,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB016,A02AB016-00001
A02AB017-00001,AR,A02,Pile Work,AB,Pile Head Treatment,017,Pretensioned Concrete Pile (Type-B),,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB017,A02AB017-00001
A02AB018-00001,AR,A02,Pile Work,AB,Pile Head Treatment,018,Pretensioned High-strength Concrete Pile (Type-A),,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB018,A02AB018-00001
A02AB019-00001,AR,A02,Pile Work,AB,Pile Head Treatment,019,Pretensioned High-strength Concrete Pile (Type-B),,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB019,A02AB019-00001
A02AB020-00001,AR,A02,Pile Work,AB,Pile Head Treatment,020,Steel Pipe Pile Work,,,,,,,,,,,,,,,,,,D=(  )mm / THK=(  )mm,,,,,,,,EA,EA,A02AB020,A02AB020-00001
A02AB021-00001,AR,A02,Pile Work,AB,Pile Head Treatment,021,H-Pile Work,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AB021,A02AB021-00001
A02AB022-00001,AR,A02,Pile Work,AB,Pile Head Treatment,022,Micro Pile Work,,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB022,A02AB022-00001
A02AB023-00001,AR,A02,Pile Work,AB,Pile Head Treatment,023,Cast-In-Place Pile Work,,,,,,,,,,,,,,,,,,DIA=(  )mm,,,,,,,,EA,EA,A02AB023,A02AB023-00001
A02AC024-00001,AR,A02,Pile Work,AC,Pile Test,024,Static Axial Compressive Load Test,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AC024,A02AC024-00001
A02AC025-00001,AR,A02,Pile Work,AC,Pile Test,025,Static Axial Tensile Load Test,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AC025,A02AC025-00001
A02AC026-00001,AR,A02,Pile Work,AC,Pile Test,026,Lateral Load Test,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AC026,A02AC026-00001
A02AC027-00001,AR,A02,Pile Work,AC,Pile Test,027,Dynamic Load Test,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AC027,A02AC027-00001
