"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A04AS177-00018,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00018
A04AS177-00019,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00019
A04AS177-00020,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00020
A04AS177-00021,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00021
A04AS177-00022,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,,,,,,,,,M2,M2,A04AS177,A04AS177-00022
A04AS177-00023,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,,,,,,,,,M2,M2,A04AS177,A04AS177-00023
A04AS177-00024,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CA,"Fire Protective Rating: N/A, 2-Layer Gypsum Boards to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,,,,,,,,,M2,M2,A04AS177,A04AS177-00024
A04AS177-00025,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00025
A04AS177-00026,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00026
A04AS177-00027,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00027
A04AS177-00028,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00028
A04AS177-00029,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00029
A04AS177-00030,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CB,"Fire Protective Rating: 1-hr, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00030
A04AS177-00031,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00031
A04AS177-00032,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00032
A04AS177-00033,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00033
A04AS177-00034,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00034
A04AS177-00035,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00035
A04AS177-00036,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,177,Gypsumboard Partition Wall (Fixed Type),CC,"Fire Protective Rating: 2-hrs, 2-Layer Gypsum Boards to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS177,A04AS177-00036
A04AS178-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00001
A04AS178-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00002
A04AS178-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,03,Mineral Wool (Rock Wool),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00003
A04AS178-00004,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00004
A04AS178-00005,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00005
A04AS178-00006,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,04,Glass Wool (Fiberglass),,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,Insulation THK=(  )mm,,,,,,,,M2,M2,A04AS178,A04AS178-00006
A04AS178-00007,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,76,1-Layer Gypsumboard THK=9.5mm,,,,,,,,,,M2,M2,A04AS178,A04AS178-00007
A04AS178-00008,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,77,1-Layer Gypsumboard THK=12.5mm,,,,,,,,,,M2,M2,A04AS178,A04AS178-00008
A04AS178-00009,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,178,Gypsumboard Partition Wall (Removable Type),BW,"Fire Protective Rating: N/A, 1-Layer Gypsum Board to Both Sides",,,,,02,w/o Insulation,,,39,Including Supporting Frame(Stud) & Accessories,,,78,1-Layer Gypsumboard THK=16mm,,,,,,,,,,M2,M2,A04AS178,A04AS178-00009
A04AS179-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,179,Cubicle Partition,,,,,,,,,07,for Toilet,32,w/ Accessories,,,,,,H=(  )mm,,,,,,,,M,M,A04AS179,A04AS179-00001
A04AS180-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,180,Shower Booth Partition,,,,,,,,,,,32,w/ Accessories,,,,,,H=(  )mm,,,,,,,,M,M,A04AS180,A04AS180-00001
A04AS181-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,181,Acoustic Panel,,,,,,,,,08,for Wall,40,"w/ Accessories (Supporting Frame, Acoustic Insulation, Etc.)",,,,,,,,,,,,,,M2,M2,A04AS181,A04AS181-00001
A04AS182-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,182,Face Brick,,,,,,,,,,,41,w/ Bedding,,,,,,,,,,,,,,M2,M2,A04AS182,A04AS182-00001
A04AS183-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,183,Hard Wood Trim,,,,,,,,,08,for Wall,,,,,86,H<150mm,,H=(  )mm,,,,,,,,M,M,A04AS183,A04AS183-00001
A04AS183-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,183,Hard Wood Trim,,,,,,,,,08,for Wall,,,,,67,150mm≤H<200mm,,H=(  )mm,,,,,,,,M,M,A04AS183,A04AS183-00002
A04AS183-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,183,Hard Wood Trim,,,,,,,,,08,for Wall,,,,,68,200mm≤H,,H=(  )mm,,,,,,,,M,M,A04AS183,A04AS183-00003
A04AS184-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,184,Aluminum Baseboard,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,86,H<150mm,,H=(  )mm,,,,,,,,M,M,A04AS184,A04AS184-00001
A04AS184-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,184,Aluminum Baseboard,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,67,150mm≤H<200mm,,H=(  )mm,,,,,,,,M,M,A04AS184,A04AS184-00002
A04AS184-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,184,Aluminum Baseboard,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,68,200mm≤H,,H=(  )mm,,,,,,,,M,M,A04AS184,A04AS184-00003
A04AS185-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,185,Coved Rubber Skirting,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,86,H<150mm,,H=(  )mm,,,,,,,,M,M,A04AS185,A04AS185-00001
A04AS185-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,185,Coved Rubber Skirting,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,67,150mm≤H<200mm,,H=(  )mm,,,,,,,,M,M,A04AS185,A04AS185-00002
A04AS185-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,185,Coved Rubber Skirting,,,,,,,,,09,for Skirt,42,w/ Adhesive,,,68,200mm≤H,,H=(  )mm,,,,,,,,M,M,A04AS185,A04AS185-00003
A04AS186-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,186,Fiber Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS186,A04AS186-00001
A04AS186-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,186,Fiber Board Ceiling System,CE,T-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS186,A04AS186-00002
A04AS187-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,187,Gypsum Plaster Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,77,1-Layer Gypsumboard THK=12.5mm,,,,,,,,,,M2,M2,A04AS187,A04AS187-00001
A04AS187-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,187,Gypsum Plaster Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,78,1-Layer Gypsumboard THK=16mm,,,,,,,,,,M2,M2,A04AS187,A04AS187-00002
A04AS188-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,188,Moisture Resistant Gypsum Plaster Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,77,1-Layer Gypsumboard THK=12.5mm,,,,,,,,,,M2,M2,A04AS188,A04AS188-00001
A04AS188-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,188,Moisture Resistant Gypsum Plaster Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,78,1-Layer Gypsumboard THK=16mm,,,,,,,,,,M2,M2,A04AS188,A04AS188-00002
A04AS189-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,189,Cement Board Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS189,A04AS189-00001
A04AS189-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,189,Cement Board Ceiling System,CE,T-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS189,A04AS189-00002
A04AS190-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,190,Acoustic Tiled Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS190,A04AS190-00001
A04AS190-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,190,Acoustic Tiled Ceiling System,CE,T-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS190,A04AS190-00002
A04AS191-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,191,Moisture Resistant Tiled Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS191,A04AS191-00001
A04AS191-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,191,Moisture Resistant Tiled Ceiling System,CE,T-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,Tile Size=(  )mm x (  )mm,,,,,,,,M2,M2,A04AS191,A04AS191-00002
A04AS192-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,192,Aluminum Spandrel Ceiling System,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,,,,,,,,,M2,M2,A04AS192,A04AS192-00001
A04AS193-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,193,Metal Open Cell Ceiling,CD,M-Bar System,,,,,,,,,43,"w/ Hot-Dip Galvanized Suspension System & Accessories(Moldings, Ceiling Access Door/Hatch, Curtain Boxes and etc.)",,,,,,,,,,,,,,M2,M2,A04AS193,A04AS193-00001
A04AS194-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,10,for Exposed Ceiling Structure of Cable Room,32,w/ Accessories,,,31,THK<50mm,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00001
A04AS194-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,10,for Exposed Ceiling Structure of Cable Room,32,w/ Accessories,,,09,50mm≤THK<75mm,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00002
A04AS194-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,10,for Exposed Ceiling Structure of Cable Room,32,w/ Accessories,,,27,75mm≤THK,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00003
A04AS194-00004,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,11,for Exposed Wall Structure of Cable Room,32,w/ Accessories,,,31,THK<50mm,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00004
A04AS194-00005,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,11,for Exposed Wall Structure of Cable Room,32,w/ Accessories,,,09,50mm≤THK<75mm,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00005
A04AS194-00006,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,194,Rigid Insulation,,,,,,,,,11,for Exposed Wall Structure of Cable Room,32,w/ Accessories,,,27,75mm≤THK,,THK=(  )mm,,,,,,,,M2,M2,A04AS194,A04AS194-00006
A04AS195-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CF,Steel Canopy,,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x L x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00001
A04AS195-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CG,Stainless Steel Canopy,,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x L x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00002
A04AS195-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CH,Aluminum Canopy,,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x L x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00003
A04AS195-00004,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CJ,Polycarbonate Canopy,,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x L x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00004
A04AS195-00005,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CK,GRP Canopy,,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x L x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00005
A04AS195-00006,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CL,Steel Canopy (Continuous Type),,,,,,,,,45,"along Walkway, w/ Supporting Frame, Accessories",,,,,,W x Min. D=(  )mm x (  )mm,,,,,,,,EA,M,A04AS195,A04AS195-00006
A04AS195-00007,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CM,Polycarbonate Canopy (Continuous Type),,,,,,,,,45,"along Walkway, w/ Supporting Frame, Accessories",,,,,,W x Min. D=(  )mm x (  )mm,,,,,,,,EA,M,A04AS195,A04AS195-00007
A04AS195-00008,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CN,Steel Canopy (Rounded Type),,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00008
A04AS195-00009,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CP,Stainless Steel Canopy (Rounded Type),,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00009
A04AS195-00010,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CQ,Aluminum Canopy (Rounded Type),,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00010
A04AS195-00011,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CR,Polycarbonate Canopy (Rounded Type),,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00011
A04AS195-00012,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,195,Pre-Fabricated Canopy,CS,GRP Canopy (Rounded Type),,,,,,,,,44,"w/ Supporting Frame, Accessories",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,EA,EA,A04AS195,A04AS195-00012
A04AS196-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,196,Custom-Made Canopy for Main Entrance,CF,Steel Canopy,,,,,,,,,46,"w/ Supporting Frame, Accessories, Lighting Fixtures",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,SET,SET,A04AS196,A04AS196-00001
A04AS196-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,196,Custom-Made Canopy for Main Entrance,CG,Stainless Steel Canopy,,,,,,,,,46,"w/ Supporting Frame, Accessories, Lighting Fixtures",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,SET,SET,A04AS196,A04AS196-00002
A04AS196-00003,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,196,Custom-Made Canopy for Main Entrance,CH,Aluminum Canopy,,,,,,,,,46,"w/ Supporting Frame, Accessories, Lighting Fixtures",,,,,,W x H x Min. D=(  )mm x (  )mm x (  )mm,,,,,,,,SET,SET,A04AS196,A04AS196-00003
A04AS197-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,197,Roof Tile,CT,Metallic Tile w/ Insulation,,,,,,,,,27,w/ Mortar Bond Coat or Adhesive,,,,,,,,,,,,,,M2,M2,A04AS197,A04AS197-00001
A04AS197-00002,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,197,Roof Tile,CU,Metallic Tile w/o Insulation,,,,,,,,,27,w/ Mortar Bond Coat or Adhesive,,,,,,,,,,,,,,M2,M2,A04AS197,A04AS197-00002
A04AS314-00001,AR,A04,Finishing Work,AS,Exterior/Interior Finish Work,314,Plywood w/ Fire Retardant Paint,,,,,,,,,,,,,,,,,,,,,,,,,,M2,M2,A04AS314,A04AS314-00001
A04AT198-00001,AR,A04,Finishing Work,AT,Plastering Work,198,Plastering,,,,,,,,,12,for External Masonry Wall,,,,,,,,THK=(  )mm,,,,,,,,M2,M2,A04AT198,A04AT198-00001
A04AT198-00002,AR,A04,Finishing Work,AT,Plastering Work,198,Plastering,,,,,,,,,13,for Internal Masonry Wall,,,,,,,,THK=(  )mm,,,,,,,,M2,M2,A04AT198,A04AT198-00002
