,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_CT-193x299x9x14,299.0,193.0,14.0,9.0,22.0,96.5,6005.0,47.1,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-195x300x10x16,300.0,195.0,16.0,10.0,22.0,97.5,6798.0,53.4,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-194x402x15x15,402.0,194.0,15.0,15.0,22.0,97.0,8923.0,70.0,1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-197x398x11x18,398.0,197.0,18.0,11.0,22.0,98.5,9341.0,73.3,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-200x400x13x21,400.0,200.0,21.0,13.0,22.0,100.0,10930.0,85.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-200x408x21x21,408.0,200.0,21.0,21.0,22.0,100.0,12530.0,98.4,1.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-214x407x20x35,407.0,214.0,35.0,20.0,22.0,107.0,18030.0,142.0,1.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-229x417x30x50,417.0,229.0,50.0,30.0,22.0,114.5,26430.0,207.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-249x432x45x70,432.0,249.0,70.0,45.0,22.0,124.5,38500.0,302.0,1.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-223x199x8x12,199.0,223.0,12.0,8.0,18.0,111.5,4215.0,33.1,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-225x200x9x14,200.0,225.0,14.0,9.0,18.0,112.5,4338.0,38.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-217x299x10x15,299.0,217.0,15.0,10.0,24.0,108.5,6752.0,53.0,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-220x300x11x18,300.0,220.0,18.0,11.0,24.0,110.0,7869.0,61.8,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-248x199x9x14,199.0,248.0,14.0,9.0,20.0,124.0,5064.0,39.7,0.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
