,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT420x88,292.0,417.0,18.8,14.0,17.8,303.0,11200.0,88.0,195000000.0,38900000.0,642000.0,267000.0,1160000.0,420000.0,1100000.0,6280000000.0,139.7,WT16.5X59
H_SB_WT380x291,396.0,422.0,62.0,34.5,20.0,320.0,37200.0,291.0,508000000.0,322000000.0,1590000.0,1630000.0,2900000.0,2540000.0,35900000.0,171000000000.0,139.7,WT15X195.5
H_SB_WT380x265.5,394.0,417.0,56.9,31.5,20.1,318.7,33900.0,266.0,454000000.0,288000000.0,1430000.0,1470000.0,2610000.0,2290000.0,27700000.0,128000000000.0,139.7,WT15X178.5
H_SB_WT380x242,391.0,411.0,52.1,29.0,20.0,315.5,31000.0,242.0,408000000.0,259000000.0,1290000.0,1330000.0,2340000.0,2060000.0,21300000.0,96900000000.0,139.7,WT15X163
H_SB_WT380x217,389.0,406.0,47.0,25.9,20.1,314.1,27700.0,217.0,358000000.0,229000000.0,1140000.0,1180000.0,2050000.0,1820000.0,15600000.0,69000000000.0,139.7,WT15X146
H_SB_WT380x194.5,386.0,401.0,41.9,23.6,20.1,311.1,24800.0,194.0,318000000.0,200000000.0,1020000.0,1040000.0,1840000.0,1600000.0,11200000.0,49400000000.0,139.7,WT15X130.5
H_SB_WT380x175,384.0,399.0,38.1,21.1,20.1,312.4,22400.0,175.0,281000000.0,178000000.0,903000.0,931000.0,1610000.0,1430000.0,8370000.0,35700000000.0,139.7,WT15X117.5
H_SB_WT380x157,384.0,394.0,33.5,19.7,19.8,307.9,20100.0,157.0,254000000.0,157000000.0,828000.0,821000.0,1470000.0,1270000.0,5870000.0,25900000000.0,139.7,WT15X105.5
H_SB_WT380x142,381.0,389.0,30.2,18.0,19.8,304.2,18100.0,142.0,229000000.0,140000000.0,749000.0,733000.0,1320000.0,1130000.0,4370000.0,19100000000.0,139.7,WT15X95.5
H_SB_WT380x128.5,381.0,386.0,27.2,16.6,19.8,301.9,16400.0,128.0,207000000.0,124000000.0,683000.0,654000.0,1200000.0,1010000.0,3240000.0,14200000000.0,139.7,WT15X86.5
H_SB_WT380x110,267.0,389.0,30.0,16.5,16.5,291.5,14100.0,110.0,194000000.0,47500000.0,665000.0,356000.0,1180000.0,556000.0,3010000.0,10100000000.0,139.7,WT15X74
H_SB_WT380x98,267.0,386.0,25.4,15.6,16.5,286.9,12600.0,98.0,175000000.0,40800000.0,613000.0,305000.0,1090000.0,479000.0,2020000.0,7650000000.0,139.7,WT15X66
H_SB_WT380x92.5,267.0,384.0,23.6,14.9,16.5,284.9,11700.0,92.5,165000000.0,37600000.0,578000.0,282000.0,1030000.0,442000.0,1660000.0,6420000000.0,139.7,WT15X62
H_SB_WT380x86.5,267.0,381.0,21.6,14.4,16.5,281.0,11000.0,86.5,155000000.0,34200000.0,552000.0,256000.0,990000.0,403000.0,1340000.0,5500000000.0,139.7,WT15X58
H_SB_WT380x80.5,267.0,378.0,19.3,13.8,16.5,276.0,10300.0,80.5,145000000.0,30400000.0,524000.0,228000.0,946000.0,359000.0,1040000.0,4650000000.0,139.7,WT15X54
H_SB_WT380x73.5,267.0,376.0,17.0,13.2,16.5,272.0,9350.0,73.5,134000000.0,26600000.0,492000.0,200000.0,891000.0,316000.0,783000.0,3840000000.0,139.7,WT15X49.5
H_SB_WT380x67,264.0,376.0,15.5,11.9,16.5,273.0,8520.0,67.0,121000000.0,23900000.0,444000.0,180000.0,803000.0,283000.0,587000.0,2820000000.0,139.7,WT15X45
H_SB_WT345x401,389.0,414.0,89.9,50.0,20.1,304.0,51200.0,401.0,637000000.0,441000000.0,2100000.0,2260000.0,3970000.0,3570000.0,103000000.0,467000000000.0,139.7,WT13.5X269.5
