,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-394x398x11x18,398.0,11.0,22.0,6680000000000.0,1714243.0,"Steel, 45-345",18680.0,1440000.0,3120000.0,2.32,147.0,189000000.0,561000000.0,394.0,18.0,951000.0,2850000.0,197.0,199.0,,561000000.0,1524.0,3120000.0,398.0,394.0,22.0,11.0,18.0,18680.0
H_SB_H-394x405x18x18,405.0,18.0,22.0,7040000000000.0,2305584.0,"Steel, 45-345",21440.0,1511000.0,3390000.0,2.33,168.0,200000000.0,597000000.0,394.0,18.0,985000.0,3030000.0,197.0,202.5,,597000000.0,1524.0,3390000.0,405.0,394.0,22.0,18.0,18.0,21440.0
H_SB_H-400x400x13x21,400.0,13.0,22.0,8040000000000.0,2747154.0,"Steel, 45-345",21870.0,1700000.0,3670000.0,2.34,172.0,224000000.0,666000000.0,400.0,21.0,1120000.0,3330000.0,200.0,200.0,,666000000.0,1524.0,3670000.0,400.0,400.0,22.0,13.0,21.0,21870.0
H_SB_H-400x408x21x21,408.0,21.0,22.0,8540000000000.0,3688965.0,"Steel, 45-345",25070.0,1790000.0,3990000.0,2.35,197.0,238000000.0,709000000.0,400.0,21.0,1170000.0,3540000.0,200.0,204.0,,709000000.0,1524.0,3990000.0,408.0,400.0,22.0,21.0,21.0,25070.0
H_SB_H-406x403x16x24,403.0,16.0,22.0,9550000000000.0,4235605.0,"Steel, 45-345",25490.0,1977000.0,4280000.0,2.35,200.0,262000000.0,780000000.0,406.0,24.0,1300000.0,3840000.0,203.0,201.5,,780000000.0,1524.0,4280000.0,403.0,406.0,22.0,16.0,24.0,25490.0
H_SB_H-414x405x18x28,405.0,18.0,22.0,11500000000000.0,6677424.0,"Steel, 45-345",29540.0,2330000.0,5030000.0,2.37,232.0,310000000.0,928000000.0,414.0,28.0,1530000.0,4480000.0,207.0,202.5,,928000000.0,1524.0,5030000.0,405.0,414.0,22.0,18.0,28.0,29540.0
H_SB_H-428x407x20x35,407.0,20.0,22.0,15200000000000.0,12681417.0,"Steel, 45-345",36070.0,2940000.0,6310000.0,2.41,283.0,394000000.0,1190000000.0,428.0,35.0,1930000.0,5570000.0,214.0,203.5,,1190000000.0,1524.0,6310000.0,407.0,428.0,22.0,20.0,35.0,36070.0
H_SB_H-458x417x30x50,417.0,30.0,22.0,25100000000000.0,38422000.0,"Steel, 45-345",52860.0,4440000.0,9540000.0,2.49,415.0,605000000.0,1870000000.0,458.0,50.0,2900000.0,8170000.0,229.0,208.5,,1870000000.0,1524.0,9540000.0,417.0,458.0,22.0,30.0,50.0,52860.0
H_SB_H-498x432x45x70,432.0,45.0,22.0,43100000000000.0,111784500.0,"Steel, 45-345",77010.0,6720000.0,14500000.0,2.6,605.0,940000000.0,2980000000.0,498.0,70.0,4370000.0,13000000.0,249.0,216.0,,2980000000.0,1524.0,14500000.0,432.0,498.0,22.0,45.0,70.0,77010.0
H_SB_H-446x199x8x12,199.0,8.0,18.0,742000000000.0,303317.0,"Steel, 45-345",8430.0,247000.0,1450000.0,1.64,66.2,15800000.0,287000000.0,446.0,12.0,159000.0,1290000.0,223.0,99.5,,287000000.0,1524.0,1450000.0,199.0,446.0,18.0,8.0,12.0,8430.0
H_SB_H-450x200x9x14,200.0,9.0,18.0,887000000000.0,471815.0,"Steel, 45-345",9676.0,291000.0,1680000.0,1.65,76.0,18700000.0,335000000.0,450.0,14.0,187000.0,1490000.0,225.0,100.0,,335000000.0,1524.0,1680000.0,200.0,450.0,18.0,9.0,14.0,9676.0
H_SB_H-434x299x10x15,299.0,10.0,24.0,2930000000000.0,812417.0,"Steel, 45-345",13500.0,686000.0,2384000.0,2.0,106.0,66900000.0,468000000.0,434.0,15.0,448000.0,2160000.0,217.0,149.5,,468000000.0,1524.0,2384000.0,299.0,434.0,24.0,10.0,15.0,13500.0
H_SB_H-440x300x11x18,300.0,11.0,24.0,3610000000000.0,1353627.0,"Steel, 45-345",15740.0,828000.0,2820000.0,2.02,124.0,81100000.0,561000000.0,440.0,18.0,541000.0,2550000.0,220.0,150.0,,561000000.0,1524.0,2820000.0,300.0,440.0,24.0,11.0,18.0,15740.0
H_SB_H-496x199x9x14,199.0,9.0,20.0,1070000000000.0,481163.0,"Steel, 45-345",10130.0,290000.0,1910000.0,1.74,79.5,18400000.0,419000000.0,496.0,14.0,185000.0,1690000.0,248.0,99.5,,419000000.0,1524.0,1910000.0,199.0,496.0,20.0,9.0,14.0,10130.0
H_SB_H-500x200x10x16,200.0,10.0,20.0,1250000000000.0,707467.0,"Steel, 45-345",11420.0,335000.0,2180000.0,1.75,89.6,21400000.0,478000000.0,500.0,16.0,214000.0,1910000.0,250.0,100.0,,478000000.0,1524.0,2180000.0,200.0,500.0,20.0,10.0,16.0,11420.0
H_SB_H-506x201x11x19,201.0,11.0,20.0,1520000000000.0,1135172.0,"Steel, 45-345",13130.0,401000.0,2540000.0,1.76,103.0,25800000.0,565000000.0,506.0,19.0,254000.0,2230000.0,253.0,100.5,,565000000.0,1524.0,2540000.0,201.0,506.0,20.0,11.0,19.0,13130.0
H_SB_H-482x300x11x15,300.0,11.0,26.0,3680000000000.0,882192.0,"Steel, 45-345",14550.0,695000.0,2790000.0,2.1,114.0,67600000.0,604000000.0,482.0,15.0,451000.0,2500000.0,241.0,150.0,,604000000.0,1524.0,2790000.0,300.0,482.0,26.0,11.0,15.0,14550.0
H_SB_H-488x300x11x18,300.0,11.0,26.0,4470000000000.0,1374923.0,"Steel, 45-345",16350.0,830000.0,3230000.0,2.11,128.0,81100000.0,710000000.0,488.0,18.0,541000.0,2910000.0,244.0,150.0,,710000000.0,1524.0,3230000.0,300.0,488.0,26.0,11.0,18.0,16350.0
H_SB_H-596x199x10x15,199.0,10.0,22.0,1660000000000.0,641417.0,"Steel, 45-345",12050.0,315000.0,2650000.0,1.93,94.6,19800000.0,687000000.0,596.0,15.0,199000.0,2310000.0,298.0,99.5,,687000000.0,1524.0,2650000.0,199.0,596.0,22.0,10.0,15.0,12050.0
H_SB_H-600x200x11x17,200.0,11.0,22.0,1930000000000.0,913724.0,"Steel, 45-345",13440.0,361000.0,2980000.0,1.94,106.0,22800000.0,776000000.0,600.0,17.0,228000.0,2590000.0,300.0,100.0,,776000000.0,1524.0,2980000.0,200.0,600.0,22.0,11.0,17.0,13440.0
H_SB_H-606x201x12x20,201.0,12.0,22.0,2320000000000.0,1409536.0,"Steel, 45-345",15250.0,429000.0,3430000.0,1.95,120.0,27200000.0,904000000.0,606.0,20.0,271000.0,2980000.0,303.0,100.5,,904000000.0,1524.0,3430000.0,201.0,606.0,22.0,12.0,20.0,15250.0
H_SB_H-612x202x13x23,202.0,13.0,22.0,2740000000000.0,2069834.0,"Steel, 45-345",17070.0,498000.0,3893000.0,1.97,134.0,31800000.0,1030000000.0,612.0,23.0,314000.0,3380000.0,306.0,101.0,,1030000000.0,1524.0,3893000.0,202.0,612.0,22.0,13.0,23.0,17070.0
H_SB_H-582x300x12x17,300.0,12.0,28.0,6110000000000.0,1308040.0,"Steel, 45-345",17450.0,793000.0,3960000.0,2.29,137.0,76700000.0,1030000000.0,582.0,17.0,511000.0,3530000.0,291.0,150.0,,1030000000.0,1524.0,3960000.0,300.0,582.0,28.0,12.0,17.0,17450.0
H_SB_H-588x300x12x20,300.0,12.0,28.0,7260000000000.0,1927168.0,"Steel, 45-345",19250.0,928000.0,4490000.0,2.3,151.0,90200000.0,1180000000.0,588.0,20.0,601000.0,4020000.0,294.0,150.0,,1180000000.0,1524.0,4490000.0,300.0,588.0,28.0,12.0,20.0,19250.0
H_SB_H-594x302x14x23,302.0,14.0,28.0,8610000000000.0,2971897.0,"Steel, 45-345",22240.0,1080000.0,5200000.0,2.32,175.0,106000000.0,1370000000.0,594.0,23.0,701000.0,4620000.0,297.0,151.0,,1370000000.0,1524.0,5200000.0,302.0,594.0,28.0,14.0,23.0,22240.0
H_SB_H-692x300x13x20,300.0,13.0,28.0,10200000000000.0,2092128.0,"Steel, 45-345",21150.0,936000.0,5630000.0,2.51,166.0,90200000.0,1720000000.0,692.0,20.0,602000.0,4980000.0,346.0,150.0,,1720000000.0,1524.0,5630000.0,300.0,692.0,28.0,13.0,20.0,21150.0
H_SB_H-700x300x13x24,300.0,13.0,28.0,12300000000000.0,3259857.0,"Steel, 45-345",23550.0,1120000.0,6460000.0,2.53,185.0,108000000.0,2010000000.0,700.0,24.0,722000.0,5760000.0,350.0,150.0,,2010000000.0,1524.0,6460000.0,300.0,700.0,28.0,13.0,24.0,23550.0
H_SB_H-708x302x15x28,302.0,15.0,28.0,14900000000000.0,5184669.0,"Steel, 45-345",27360.0,1323000.0,7559000.0,2.55,215.0,129000000.0,2370000000.0,708.0,28.0,853000.0,6700000.0,354.0,151.0,,2370000000.0,1524.0,7559000.0,302.0,708.0,28.0,15.0,28.0,27360.0
