,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_L152x152x7.9,L152x152x7.9,152.0,152.0,7.94,7.94,3.97,3.97,7.94,40.6,40.6,2370.0,0.604,18.5,5410000.0,5410000.0,48300.0,48300.0,86200.0,86200.0,53700.0,90800000.0,88.9,88.9,0.0,L6X6X5/16
H_SB_L152x152x9.5,L152x152x9.5,152.0,152.0,9.53,9.53,4.765,4.765,9.53,41.1,41.1,2830.0,0.602,22.2,6410000.0,6410000.0,57500.0,57500.0,103000.0,103000.0,90700.0,154000000.0,88.9,88.9,0.0,L6X6X3/8
H_SB_L152x152x11.1,L152x152x11.1,152.0,152.0,11.1,11.1,5.55,5.55,11.1,41.9,41.9,3280.0,0.605,25.6,7330000.0,7330000.0,66500.0,66500.0,119000.0,119000.0,142000.0,241000000.0,88.9,88.9,0.0,L6X6X7/16
H_SB_L152x152x12.7,L152x152x12.7,152.0,152.0,12.7,12.7,6.35,6.35,12.7,42.4,42.4,3720.0,0.603,29.2,8280000.0,8280000.0,75200.0,75200.0,135000.0,135000.0,209000.0,354000000.0,88.9,88.9,0.0,L6X6X1/2
H_SB_L152x152x14.3,L152x152x14.3,152.0,152.0,14.3,14.3,7.15,7.15,14.3,43.2,43.2,4160.0,0.605,32.6,9160000.0,9160000.0,83900.0,83900.0,150000.0,150000.0,293000.0,497000000.0,88.9,88.9,0.0,L6X6X9/16
H_SB_L152x152x15.9,L152x152x15.9,152.0,152.0,15.9,15.9,7.95,7.95,15.9,43.7,43.7,4600.0,0.605,36.0,10000000.0,10000000.0,92400.0,92400.0,166000.0,166000.0,398000.0,671000000.0,88.9,88.9,0.0,L6X6X5/8
H_SB_L152x152x19,L152x152x19,152.0,152.0,19.1,19.1,9.55,9.55,19.1,45.0,45.0,5460.0,0.606,42.7,11700000.0,11700000.0,109000.0,109000.0,195000.0,195000.0,670000.0,1120000000.0,88.9,88.9,0.0,L6X6X3/4
H_SB_L152x152x22.2,L152x152x22.2,152.0,152.0,22.2,22.2,11.1,11.1,22.2,46.0,46.0,6290.0,0.605,49.3,13300000.0,13300000.0,125000.0,125000.0,225000.0,225000.0,1040000.0,1720000000.0,88.9,88.9,0.0,L6X6X7/8
H_SB_L152x152x25.4,L152x152x25.4,152.0,152.0,25.4,25.4,12.7,12.7,25.4,47.2,47.2,7100.0,0.605,55.7,14700000.0,14700000.0,140000.0,140000.0,252000.0,252000.0,1530000.0,2480000000.0,88.9,88.9,0.0,L6X6X1
H_SB_L203x203x12.7,L203x203x12.7,203.0,203.0,12.7,12.7,6.35,6.35,12.7,55.1,55.1,5060.0,0.808,39.3,20300000.0,20300000.0,137000.0,137000.0,247000.0,247000.0,284000.0,867000000.0,114.3,114.3,0.0,L8X8X1/2
