,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT305x50.5,228,302,14.9,10.5,12.8,224.3,6450,50.5,57000000,14700000,256000,129000,457000,202000,388000,1100000000,139.7,WT12X34
H_SB_WT305x46,179,302,15,10.9,12.7,214.1,5880,46,54500000,7160000,256000,80300,465000,129000,354000,1050000000,88.9,WT12X31
H_SB_WT305x41,178,300,12.8,10,12.9,211.1,5230,41,48700000,6040000,231000,68000,420000,109000,245000,787000000,88.9,WT12X27.5
H_SB_WT265x150,320,292,41.4,23.1,12.7,226.7,19100,150,119000000,113000000,523000,706000,960000,1090000,8490000,22900000000,139.7,WT10.5X100.5
H_SB_WT265x136,318,290,37.6,21.1,12.7,227,17300,136,105000000,100000000,467000,633000,854000,975000,6370000,16900000000,139.7,WT10.5X91
H_SB_WT265x124,315,284,34.5,19.1,12.7,223.3,15700,124,94100000,90300000,418000,574000,759000,883000,4910000,12700000000,139.7,WT10.5X83
H_SB_WT265x109.5,318,279,29.2,18.3,12.7,218.3,13900,110,84900000,78300000,388000,492000,695000,759000,3200000,8730000000,139.7,WT10.5X73.5
H_SB_WT265x98,315,277,26.4,16.5,12.7,217.8,12500,98,75300000,69100000,346000,438000,616000,674000,2340000,6280000000,139.7,WT10.5X66
H_SB_WT265x91,315,274,24.4,15.2,12.7,216.1,11500,91,69100000,63300000,316000,403000,562000,619000,1860000,4940000000,139.7,WT10.5X61
H_SB_WT265x82.5,312,274,22.2,14,12.9,217.4,10500,82.5,62400000,57000000,287000,364000,508000,559000,1420000,3710000000,139.7,WT10.5X55.5
