,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_L127x127x12.7,127,127,12.7,12.7,6.35,6.35,12.7,36.1,36.1,3090,0.501,24.1,4700000,4700000,51600,51600,92800,92800,174000,200000000,76.2,76.2,0,L5X5X1/2
H_SC_L127x127x15.9,127,127,15.9,15.9,7.95,7.95,15.9,37.3,37.3,3810,0.502,29.8,5660000,5660000,63100,63100,114000,114000,330000,376000000,76.2,76.2,0,L5X5X5/8
H_SC_L127x127x19,127,127,19.1,19.1,9.55,9.55,19.1,38.6,38.6,4500,0.505,35.1,6530000,6530000,74100,74100,133000,133000,554000,623000000,76.2,76.2,0,L5X5X3/4
H_SC_L127x127x22.2,127,127,22.2,22.2,11.1,11.1,22.2,39.6,39.6,5160,0.503,40.5,7410000,7410000,84600,84600,153000,153000,862000,948000000,76.2,76.2,0,L5X5X7/8
H_SC_L152x152x7.9,152,152,7.94,7.94,3.97,3.97,7.94,40.6,40.6,2370,0.604,18.5,5410000,5410000,48300,48300,86200,86200,53700,90800000,88.9,88.9,0,L6X6X5/16
H_SC_L152x152x9.5,152,152,9.53,9.53,4.765,4.765,9.53,41.1,41.1,2830,0.602,22.2,6410000,6410000,57500,57500,103000,103000,90700,154000000,88.9,88.9,0,L6X6X3/8
H_SC_L152x152x11.1,152,152,11.1,11.1,5.55,5.55,11.1,41.9,41.9,3280,0.605,25.6,7330000,7330000,66500,66500,119000,119000,142000,241000000,88.9,88.9,0,L6X6X7/16
H_SC_L152x152x12.7,152,152,12.7,12.7,6.35,6.35,12.7,42.4,42.4,3720,0.603,29.2,8280000,8280000,75200,75200,135000,135000,209000,354000000,88.9,88.9,0,L6X6X1/2
H_SC_L152x152x14.3,152,152,14.3,14.3,7.15,7.15,14.3,43.2,43.2,4160,0.605,32.6,9160000,9160000,83900,83900,150000,150000,293000,497000000,88.9,88.9,0,L6X6X9/16
H_SC_L152x152x15.9,152,152,15.9,15.9,7.95,7.95,15.9,43.7,43.7,4600,0.605,36,10000000,10000000,92400,92400,166000,166000,398000,671000000,88.9,88.9,0,L6X6X5/8
