,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-310x310x20x20,310,20,18,2.09E+12,2426667,"Steel, 45-345",18080,992000,2199000,1.79,142,9.94E+07,2.94E+08,310,20,642000,1890000,155,155,,2.94E+08,1524,2199000,310,310,18,20,20,18080
H_SB_H-346x174x6x9,174,6,14,2.24E+11,108828,"Steel, 45-345",5268,140000,716000,1.35,41.4,7.92E+06,1.11E+08,346,9,91000,641000,173,87,,1.11E+08,1524,716000,174,346,14,6,9,5268
H_SB_H-350x175x7x11,175,7,14,2.82E+11,194042,"Steel, 45-345",6314,174000,868000,1.36,49.6,9.84E+06,1.36E+08,350,11,112000,775000,175,87.5,,1.36E+08,1524,868000,175,350,14,7,11,6314
H_SB_H-354x176x8x13,176,8,14,3.43E+11,315979,"Steel, 45-345",7368,208000,1022000,1.37,57.8,1.18E+07,1.61E+08,354,13,134000,909000,177,88,,1.61E+08,1524,1022000,176,354,14,8,13,7368
H_SB_H-336x249x8x12,249,8,20,8.10E+11,342144,"Steel, 45-345",8815,380000,1215000,1.62,69.2,3.09E+07,1.85E+08,336,12,248000,1100000,168,124.5,,1.85E+08,1524,1215000,249,336,20,8,12,8815
H_SB_H-340x250x9x14,250,9,20,9.69E+11,536551,"Steel, 45-345",10150,447000,1410000,1.63,79.7,3.65E+07,2.17E+08,340,14,292000,1280000,170,125,,2.17E+08,1524,1410000,250,340,20,9,14,10150
H_SB_H-338x351x13x13,351,13,20,2.47E+12,752106,"Steel, 45-345",13530,872000,1851000,2.03,106,9.38E+07,2.82E+08,338,13,534000,1670000,169,175.5,,2.82E+08,1524,1851000,351,338,20,13,13,13530
H_SB_H-344x348x10x16,348,10,20,3.02E+12,1059605,"Steel, 45-345",14600,980000,2120000,2.02,115,1.12E+08,3.33E+08,344,16,646000,1940000,172,174,,3.33E+08,1524,2120000,348,344,20,10,16,14600
H_SB_H-344x354x16x16,354,16,20,3.18E+12,1414485,"Steel, 45-345",16660,1023000,2247000,2.04,131,1.18E+08,3.53E+08,344,16,669000,2050000,172,177,,3.53E+08,1524,2247000,354,344,20,16,16,16660
H_SB_H-350x350x12x19,350,12,20,3.72E+12,1791089,"Steel, 45-345",17390,1180000,2550000,2.04,137,1.36E+08,4.03E+08,350,19,776000,2300000,175,175,,4.03E+08,1524,2550000,350,350,20,12,19,17390
H_SB_H-350x357x19x19,357,19,20,3.95E+12,2389218,"Steel, 45-345",19140,1244000,2760000,2.06,156,1.44E+08,4.28E+08,350,19,809000,2450000,175,178.5,,4.28E+08,1524,2760000,357,350,20,19,19,19140
H_SB_H-396x199x7x11,199,7,16,5.35E+11,220598,"Steel, 45-345",7216,224000,1130000,1.55,56.6,1.45E+07,2.00E+08,396,11,145000,1010000,198,99.5,,2.00E+08,1524,1130000,199,396,16,7,11,7216
H_SB_H-400x200x8x13,200,8,16,6.49E+11,358981,"Steel, 45-345",8412,268000,1330000,1.56,66,1.74E+07,2.37E+08,400,13,174000,1190000,200,100,,2.37E+08,1524,1330000,200,400,16,8,13,8412
H_SB_H-404x201x9x15,201,9,16,7.68E+11,546777,"Steel, 45-345",9616,312000,1528000,1.57,75.5,2.03E+07,2.75E+08,404,15,202000,1360000,202,100.5,,2.75E+08,1524,1528000,201,404,16,9,15,9616
H_SB_H-386x299x9x14,299,9,22,2.16E+12,637367,"Steel, 45-345",12010,637000,1918000,1.91,94.3,6.24E+07,3.37E+08,386,14,418000,1740000,193,149.5,,3.37E+08,1524,1918000,299,386,22,9,14,12010
H_SB_H-390x300x10x16,300,10,22,2.52E+12,943867,"Steel, 45-345",13600,733000,2190000,1.92,107,7.21E+07,3.87E+08,390,16,481000,1980000,195,150,,3.87E+08,1524,2190000,300,390,22,10,16,13600
H_SB_H-388x402x15x15,402,15,22,5.65E+12,1324125,"Steel, 45-345",17850,1240000,2800000,2.32,140,1.63E+08,4.90E+08,388,15,809000,2520000,194,201,,4.90E+08,1524,2800000,402,388,22,15,15,17850
H_SB_H-394x398x11x18,398,11,22,6.68E+12,1714243,"Steel, 45-345",18680,1440000,3120000,2.32,147,1.89E+08,5.61E+08,394,18,951000,2850000,197,199,,5.61E+08,1524,3120000,398,394,22,11,18,18680
H_SB_H-394x405x18x18,405,18,22,7.04E+12,2305584,"Steel, 45-345",21440,1511000,3390000,2.33,168,2.00E+08,5.97E+08,394,18,985000,3030000,197,202.5,,5.97E+08,1524,3390000,405,394,22,18,18,21440
H_SB_H-400x400x13x21,400,13,22,8.04E+12,2747154,"Steel, 45-345",21870,1700000,3670000,2.34,172,2.24E+08,6.66E+08,400,21,1120000,3330000,200,200,,6.66E+08,1524,3670000,400,400,22,13,21,21870
H_SB_H-400x408x21x21,408,21,22,8.54E+12,3688965,"Steel, 45-345",25070,1790000,3990000,2.35,197,2.38E+08,7.09E+08,400,21,1170000,3540000,200,204,,7.09E+08,1524,3990000,408,400,22,21,21,25070
H_SB_H-406x403x16x24,403,16,22,9.55E+12,4235605,"Steel, 45-345",25490,1977000,4280000,2.35,200,2.62E+08,7.80E+08,406,24,1300000,3840000,203,201.5,,7.80E+08,1524,4280000,403,406,22,16,24,25490
H_SB_H-414x405x18x28,405,18,22,1.15E+13,6677424,"Steel, 45-345",29540,2330000,5030000,2.37,232,3.10E+08,9.28E+08,414,28,1530000,4480000,207,202.5,,9.28E+08,1524,5030000,405,414,22,18,28,29540
H_SB_H-428x407x20x35,407,20,22,1.52E+13,12681417,"Steel, 45-345",36070,2940000,6310000,2.41,283,3.94E+08,1.19E+09,428,35,1930000,5570000,214,203.5,,1.19E+09,1524,6310000,407,428,22,20,35,36070
H_SB_H-458x417x30x50,417,30,22,2.51E+13,38422000,"Steel, 45-345",52860,4440000,9540000,2.49,415,6.05E+08,1.87E+09,458,50,2900000,8170000,229,208.5,,1.87E+09,1524,9540000,417,458,22,30,50,52860
H_SB_H-498x432x45x70,432,45,22,4.31E+13,111784500,"Steel, 45-345",77010,6720000,14500000,2.6,605,9.40E+08,2.98E+09,498,70,4370000,13000000,249,216,,2.98E+09,1524,14500000,432,498,22,45,70,77010
H_SB_H-446x199x8x12,199,8,18,7.42E+11,303317,"Steel, 45-345",8430,247000,1450000,1.64,66.2,1.58E+07,2.87E+08,446,12,159000,1290000,223,99.5,,2.87E+08,1524,1450000,199,446,18,8,12,8430
H_SB_H-450x200x9x14,200,9,18,8.87E+11,471815,"Steel, 45-345",9676,291000,1680000,1.65,76,1.87E+07,3.35E+08,450,14,187000,1490000,225,100,,3.35E+08,1524,1680000,200,450,18,9,14,9676
H_SB_H-434x299x10x15,299,10,24,2.93E+12,812417,"Steel, 45-345",13500,686000,2384000,2,106,6.69E+07,4.68E+08,434,15,448000,2160000,217,149.5,,4.68E+08,1524,2384000,299,434,24,10,15,13500
H_SB_H-440x300x11x18,300,11,24,3.61E+12,1353627,"Steel, 45-345",15740,828000,2820000,2.02,124,8.11E+07,5.61E+08,440,18,541000,2550000,220,150,,5.61E+08,1524,2820000,300,440,24,11,18,15740
H_SB_H-496x199x9x14,199,9,20,1.07E+12,481163,"Steel, 45-345",10130,290000,1910000,1.74,79.5,1.84E+07,4.19E+08,496,14,185000,1690000,248,99.5,,4.19E+08,1524,1910000,199,496,20,9,14,10130
H_SB_H-500x200x10x16,200,10,20,1.25E+12,707467,"Steel, 45-345",11420,335000,2180000,1.75,89.6,2.14E+07,4.78E+08,500,16,214000,1910000,250,100,,4.78E+08,1524,2180000,200,500,20,10,16,11420
H_SB_H-506x201x11x19,201,11,20,1.52E+12,1135172,"Steel, 45-345",13130,401000,2540000,1.76,103,2.58E+07,5.65E+08,506,19,254000,2230000,253,100.5,,5.65E+08,1524,2540000,201,506,20,11,19,13130
H_SB_H-482x300x11x15,300,11,26,3.68E+12,882192,"Steel, 45-345",14550,695000,2790000,2.1,114,6.76E+07,6.04E+08,482,15,451000,2500000,241,150,,6.04E+08,1524,2790000,300,482,26,11,15,14550
H_SB_H-488x300x11x18,300,11,26,4.47E+12,1374923,"Steel, 45-345",16350,830000,3230000,2.11,128,8.11E+07,7.10E+08,488,18,541000,2910000,244,150,,7.10E+08,1524,3230000,300,488,26,11,18,16350
H_SB_H-596x199x10x15,199,10,22,1.66E+12,641417,"Steel, 45-345",12050,315000,2650000,1.93,94.6,1.98E+07,6.87E+08,596,15,199000,2310000,298,99.5,,6.87E+08,1524,2650000,199,596,22,10,15,12050
H_SB_H-600x200x11x17,200,11,22,1.93E+12,913724,"Steel, 45-345",13440,361000,2980000,1.94,106,2.28E+07,7.76E+08,600,17,228000,2590000,300,100,,7.76E+08,1524,2980000,200,600,22,11,17,13440
H_SB_H-606x201x12x20,201,12,22,2.32E+12,1409536,"Steel, 45-345",15250,429000,3430000,1.95,120,2.72E+07,9.04E+08,606,20,271000,2980000,303,100.5,,9.04E+08,1524,3430000,201,606,22,12,20,15250
H_SB_H-612x202x13x23,202,13,22,2.74E+12,2069834,"Steel, 45-345",17070,498000,3893000,1.97,134,3.18E+07,1.03E+09,612,23,314000,3380000,306,101,,1.03E+09,1524,3893000,202,612,22,13,23,17070
H_SB_H-582x300x12x17,300,12,28,6.11E+12,1308040,"Steel, 45-345",17450,793000,3960000,2.29,137,7.67E+07,1.03E+09,582,17,511000,3530000,291,150,,1.03E+09,1524,3960000,300,582,28,12,17,17450
H_SB_H-588x300x12x20,300,12,28,7.26E+12,1927168,"Steel, 45-345",19250,928000,4490000,2.3,151,9.02E+07,1.18E+09,588,20,601000,4020000,294,150,,1.18E+09,1524,4490000,300,588,28,12,20,19250
