AR, , , , ,형상제작(더미 포함),Cat.1, Cat.3 값 기반 보정 계산 산출(by Parameter),DYNAMO
가상 모델링 산출,카테고리 유무, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ001,Earth Work,null,Excavation,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00004,Structural Foundations>All element of Category,기초 하부면 외곽선 추출,1. 외곽선 오프셋 
  (최소폭 고려)
2. GL 레벨로 복사  
  (휴식각 고려)
3. Solid 작성,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 2, , 
A02AB028,Pile Work,Pile Test,Integrity Test,EA,0,0,1,1,O, , , , , , , , , , , , , , , ,Cat.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC029,Concrete Work,Substructure Work,Anchor Bolt (Installation only),EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC030,Concrete Work,Substructure Work,Chemical Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC031,Concrete Work,Substructure Work,Expansion Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC032,Concrete Work,Substructure Work,Structural Concrete,M3,0,0,0,1,O,00007,Structural Foundations>All element of Category,슬라브 형상,슬라브 형상, ,00007,Structural Foundations>All element of Category,슬라브 형상,슬라브 형상, ,00007,Structural Foundations>All element of Category,콘크리트 기초 부피, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC033,Concrete Work,Substructure Work,Colored Concrete,M3,0,0,0,1,O, ,Structural Foundations>All element of Category,슬라브 형상,슬라브 형상, , ,Structural Foundations>All element of Category,슬라브 형상,슬라브 형상, , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC034,Concrete Work,Substructure Work,Lean Concrete (including Form work),M3,0,0,0,1,O,00007,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면 오프셋, 돌출 형상, ,00007,Structural Foundations>All element of Category,슬라브 형상,슬라브 하부면 오프셋, 돌출 형상, ,00007,Structural Foundations>All element of Category,UG > element Faces > 하부면 외곽선 추출,Lean 두께만큼 돌출 solid,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC035,Concrete Work,Substructure Work,Form Work (3 times in use),M2,0,0,0,1,O, , , , , , , , , , ,00001,Structural Foundations>All element of Category,콘크리트 기초 Surface,기초 Surface 법선 Ventor Z값 0인 것(측면)을 추출 ,Surface 면적합계, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC036,Concrete Work,Substructure Work,Form Work (1 time in use),M2,0,0,0,1,O, , , , , , , , , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AC037,Concrete Work,Substructure Work,Rebar Work,TON,0,0,0,1,O,00002,Structural Foundations>All element of Category, , , ,00002,Structural Foundations>All element of Category, , , ,00002,Structural Foundations>All element of Category,콘크리트 기초 부피, ,Ratio(0.1) 곱셈, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
